id,date,value
Biomass Energy Production,2019-02-01,0.854274
Biomass Energy Production,2019-03-01,0.431175
Biomass Energy Production,2019-04-01,0.420394
Biomass Energy Production,2019-05-01,0.437302
Biomass Energy Production,2019-06-01,0.430385
Biomass Energy Production,2019-07-01,0.446584
Biomass Energy Production,2019-08-01,0.443975
Biomass Energy Production,2019-09-01,0.414057
Biomass Energy Production,2019-10-01,0.429523
Biomass Energy Production,2019-11-01,0.56926
Biomass Energy Production,2019-12-01,0.708997
Biomass Energy Production,2020-01-01,0.848734
Biomass Energy Production,2020-02-01,0.834935
Biomass Energy Production,2020-03-01,0.418209
Biomass Energy Production,2020-04-01,0.332081
Biomass Energy Production,2020-05-01,0.362879
Biomass Energy Production,2020-06-01,0.381845
Biomass Energy Production,2020-07-01,0.402748
Biomass Energy Production,2020-08-01,0.405123
Biomass Energy Production,2020-09-01,0.393075
Biomass Energy Production,2020-10-01,0.406043
Biomass Energy Production,2020-11-01,0.549091
Biomass Energy Production,2020-12-01,0.6921390000000001
Biomass Energy Production,2021-01-01,0.835187
Coal Production,2019-02-01,2.253685
Coal Production,2019-03-01,1.126072
Coal Production,2019-04-01,1.234392
Coal Production,2019-05-01,1.247969
Coal Production,2019-06-01,1.145178
Coal Production,2019-07-01,1.19111
Coal Production,2019-08-01,1.286097
Coal Production,2019-09-01,1.179775
Coal Production,2019-10-01,1.162274
Coal Production,2019-11-01,1.440928
Coal Production,2019-12-01,1.719582
Coal Production,2020-01-01,1.998236
Coal Production,2020-02-01,1.845443
Coal Production,2020-03-01,0.921015
Coal Production,2020-04-01,0.786817
Coal Production,2020-05-01,0.744336
Coal Production,2020-06-01,0.790875
Coal Production,2020-07-01,0.864182
Coal Production,2020-08-01,0.950311
Coal Production,2020-09-01,0.90264
Coal Production,2020-10-01,0.899359
Coal Production,2020-11-01,1.250743
Coal Production,2020-12-01,1.6021269999999999
Coal Production,2021-01-01,1.953511
Crude Oil Production,2019-02-01,4.139549000000001
Crude Oil Production,2019-03-01,2.101805
Crude Oil Production,2019-04-01,2.072576
Crude Oil Production,2019-05-01,2.144511
Crude Oil Production,2019-06-01,2.081856
Crude Oil Production,2019-07-01,2.101223
Crude Oil Production,2019-08-01,2.203559
Crude Oil Production,2019-09-01,2.149109
Crude Oil Production,2019-10-01,2.255837
Crude Oil Production,2019-11-01,2.888607
Crude Oil Production,2019-12-01,3.521377
Crude Oil Production,2020-01-01,4.154147
Crude Oil Production,2020-02-01,4.072138
