id,global_rmse,global_mae,global_mape,local_model,local_rmse,local_mae,local_mape,winner,rmse_improvement,rmse_improvement_pct
Biomass Energy Production,0.014227783239331422,0.01003581249300639,1.7644223239112762,ETSMAM,0.009283215554230357,0.006442037763397676,1.142113902056411,Series-Specific,0.004944567685101065,34.75290283754291
Coal Production,0.13577233355513926,0.12141183074569706,8.669665416465138,XGBOOST,0.10886763883445173,0.07674977736822765,4.46643407037715,Series-Specific,0.02690469472068753,19.81603616598452
Crude Oil Production,0.12353801309898055,0.08300065818277995,2.8547473262938836,ARIMA,0.24578380207392928,0.16773058333333316,6.2044602411534555,Global,-0.12224578897494873,-98.95398663810751
Geothermal Energy Production,0.0014354509576151094,0.0014209014864067233,7.741008790593136,XGBOOST,0.001142207004303391,7.301752061049149e-4,3.2887179432653784,Series-Specific,2.932439533117183e-4,20.42869885286227
Hydroelectric Power Production,0.01813933526919363,0.013487898480256411,4.521427564489146,ETSMNM,0.020004233741963754,0.01770222582454691,7.2171688820399735,Global,-0.0018648984727701254,-10.28096369075507
Natural Gas (Dry) Production,0.18402413883368968,0.14146635326639814,3.747214715806466,ETSMADM,0.39290783085722875,0.28265882127614317,7.686591127759213,Global,-0.20888369202353907,-113.50885451626323
Natural Gas Plant Liquids Production,0.018625767722971635,0.011763958421071344,1.5545832722769584,ARIMA,0.0495640598369039,0.03856873774622852,6.189257921703753,Global,-0.030938292113932266,-166.1047886674506
Nuclear Electric Power Production,0.01957289186454379,0.015083867550532018,1.8986152415079098,ETSANA,0.019400049644568974,0.015083149581471944,2.0004723597657064,Series-Specific,1.7284221997481558e-4,0.8830694062532402
Solar Energy Production,0.00471659445572107,0.003990473643064496,3.877445348478903,ARIMA,0.006584184915774104,0.005170355556300167,6.081855345342797,Global,-0.0018675904600530336,-39.59616366396965
Wind Energy Production,0.01733911352198881,0.014882827405452742,6.548037570257266,ETSMAM,0.0215348222686088,0.01660646460323974,6.718596543346581,Global,-0.004195708746619991,-24.19794265317631
