tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
1,0.01,mae,standard,0.4519709383369201,3,0.02322044778258272,pre0_mod1_post0
1,0.01,rmse,standard,0.6655214969463044,3,0.050003491542572956,pre0_mod1_post0
3,0.31622776601683794,mae,standard,0.0551395198311084,3,0.009280762256133626,pre0_mod2_post0
3,0.31622776601683794,rmse,standard,0.10688410040925499,3,0.035428457466174984,pre0_mod2_post0
6,0.001,mae,standard,0.6047079952745733,3,0.02785797290492304,pre0_mod3_post0
6,0.001,rmse,standard,0.8152960537107414,3,0.05610021910227831,pre0_mod3_post0
9,0.03162277660168379,mae,standard,0.06782342407882885,3,0.012233057627149893,pre0_mod4_post0
9,0.03162277660168379,rmse,standard,0.12313802880461674,3,0.03520981763654856,pre0_mod4_post0
12,0.0031622776601683794,mae,standard,0.32573524297904355,3,0.028047939864215662,pre0_mod5_post0
12,0.0031622776601683794,rmse,standard,0.46952530251349883,3,0.05745078868278753,pre0_mod5_post0
15,0.1,mae,standard,0.0589450249661948,3,0.009201075020741798,pre0_mod6_post0
15,0.1,rmse,standard,0.11174221124798123,3,0.03247429919963937,pre0_mod6_post0
