id,.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq
Biomass Energy Production,2,ETSMAM,Test,0.006442037763397676,1.142113902056411,0.07518073469227436,1.1348178401072015,0.009283215554230357,0.998315529820114
Coal Production,4,XGBOOST,Test,0.07674977736822765,4.46643407037715,0.2903476944441634,4.458945329274447,0.10886763883445173,0.9807526709971858
Crude Oil Production,3,ARIMA,Test,0.16773058333333316,6.2044602411534555,0.44207374741871724,6.448836552158209,0.24578380207392928,0.9749148728833272
Geothermal Energy Production,4,XGBOOST,Test,7.301752061049149e-4,3.2887179432653784,0.21929187600920624,3.183717394480854,0.001142207004303391,0.9814970772766969
Hydroelectric Power Production,2,ETSMNM,Test,0.01770222582454691,7.2171688820399735,0.35048782697717845,6.945274947926435,0.020004233741963754,0.9605091749758717
Natural Gas (Dry) Production,2,ETSMADM,Test,0.28265882127614317,7.686591127759213,0.5423992462948014,8.172864603752643,0.39290783085722875,0.9606727249044693
Natural Gas Plant Liquids Production,3,ARIMA,Test,0.03856873774622852,6.189257921703753,0.4209364093668337,6.333911235040403,0.0495640598369039,0.9746057282495583
Nuclear Electric Power Production,2,ETSANA,Test,0.015083149581471944,2.0004723597657064,0.09235551641996498,1.9896027400303724,0.019400049644568974,0.995760153961952
Solar Energy Production,3,ARIMA,Test,0.005170355556300167,6.081855345342797,0.5125054530816902,6.258792735376699,0.006584184915774104,0.8210681614171288
Wind Energy Production,2,ETSMAM,Test,0.01660646460323974,6.718596543346581,0.31873813302388276,6.691104207566802,0.0215348222686088,0.9681774460831563
